sbn,size,category,symmetry,size_profile,sizes
991W833m7WA2WoymAa8Ym14Y4I4b,9,plain,none,mixed,1 2 2 6 6 8 8 18 30
991WAYaXmIKP40GKC20mI4SB490a,9,plain,none,mixed,1 2 3 4 4 9 16 20 22
991WL9oa1AzM5IeYA90SPcgp0HO8,9,plain,none,mixed,3 4 4 5 6 8 14 18 19
991WAF1IrBGK7IPHIA1H2uG28KD4,9,plain,none,mixed,2 4 5 5 8 8 14 16 19
991WOv0410PfMQcYH8O8XaH98RWn,9,plain,none,mixed,1 3 4 5 7 7 13 15 26
991WHOA4dQen4GXW28W95IiGy2YI,9,plain,none,mixed,1 1 4 6 6 8 14 20 21
991Wb2H6CYa8kBnXh2b8f14ICK5O,9,plain,none,mixed,1 1 4 7 8 8 15 18 19
991WAIWarm-EPD38AXGW1ZTYH638,9,plain,none,mixed,1 2 5 7 7 8 10 16 25
991WGhGiHNOI4d9I8k9eis10Y10W,9,plain,none,mixed,1 3 4 6 9 11 11 16 20
991WaCSHIN4YI2ZO24csgT3aPAY8,9,plain,none,mixed,1 4 4 6 9 12 14 14 17
991WC6YeKWmkHYOH67YEeP4bE14H,9,plain,none,mixed,1 1 7 8 9 9 12 15 19
991W8L9JeoGaK5094I66gWqC5CGL,9,plain,none,mixed,1 5 5 7 8 8 13 16 18
991W1ZLQ8I5YGiG4IKfbWI5X8-aX,9,plain,none,mixed,3 5 5 5 7 9 9 12 26
991W0WwEoAZOQ2aCH2WI7H638eA1,9,plain,none,mixed,1 2 4 6 6 7 11 21 23
991WJ5Ob910SmgU8G4O4LvyQ1S6Y,9,plain,none,mixed,1 1 3 4 8 9 13 20 22
991WXAFcubgms4200XbCsDBCh8H4,9,plain,none,mixed,4 4 5 6 8 9 9 14 22
991W2GG18L6nbf109IWv5GI4miGm,9,plain,none,mixed,1 2 3 3 5 6 10 18 33
991W10augQOD21H442WfGIERX9pW,9,plain,none,mixed,1 2 3 4 4 13 15 16 23
991Wa30PT7f5Y4nH8AQGQ44y4mjc,9,plain,none,mixed,1 2 4 4 9 11 13 18 19
991WDCWu8N1uB1GaH8HGqoQC20Wu,9,plain,none,mixed,1 1 4 6 10 11 12 13 23
991WbKvGHM2WY9Y80ebHHQPWSB0W,9,plain,none,mixed,2 2 3 3 5 10 11 14 31
991WHWLfPIaG43ebG42Gsjdp0e48,9,plain,none,mixed,2 4 4 4 5 6 10 21 25
991W4GanB1n6HHk26HWIKkaY9Ym9,9,plain,none,mixed,1 4 4 5 10 11 15 15 16
991W0XKKYag9M2eY5YeqDfAZuyW4,9,plain,none,mixed,2 2 6 8 10 11 11 15 16
991W23upOOEZGa4HE2GLYMXeg394,9,plain,none,mixed,1 4 4 6 8 9 13 17 19
991W8HtG9qXe514AC50ac7srKs9H,9,plain,none,mixed,2 2 8 8 8 8 13 13 19
991WGtHOs12aQIOQCXv8WnfFX0Q0,9,plain,none,mixed,1 1 4 6 7 10 10 17 25
991WG80r54Mf2bmnAkPzL0O9GqLm,9,plain,none,mixed,1 5 5 6 8 9 9 13 25
