sbn,size,category,symmetry,size_profile,sizes
BB1W1O5Kb021234oDG98I68eYH8b1GC1Uz3ajw144,11,distinct,none,distinct,1 3 5 6 7 9 10 11 17 20 32
BB1W3Ko5EW94lXo3G8S249148W9ofZ4iPHmdXJm0O,11,plain,none,mixed,1 1 1 9 9 12 16 16 17 18 21
BB1W51I8gbWAo70gWr1aXA470aU5GE0Jf2Z69Y3W1,11,plain,none,mixed,1 1 4 5 5 7 12 13 13 30 30
BB1W50C1mYQ8aqpf8n2W81OWY2uH22WBWIIoBzIa2,11,plain,none,mixed,1 1 3 7 8 12 12 15 17 20 25
BB1W50N0H30i090y6aBWMXXIKe2WY4aWf44BAmgIb,11,plain,none,mixed,1 4 6 7 8 8 13 14 16 20 24
BB1W98OXo34Z84Y1844GC0YA98CZ51K3GHZ74G50A,11,plain,none,mixed,1 1 2 5 8 11 15 15 20 20 23
BB1W0e3TD2m7CKnpAJ40G1X1a28GI0mWoXQ4GYG48,11,plain,none,mixed,1 1 2 4 6 7 16 19 20 21 24
BB1W0e8c2KEGt0YCGb87GH08cIHg4OI1O52m2WsAq,11,plain,none,mixed,2 2 3 4 7 8 13 14 15 20 33
BB1W1a79X2Kas63uNWoA8nWmYGHqmcmgHGKWs0O0W,11,plain,none,mixed,1 2 2 2 6 12 13 18 19 22 24
BB1W01a2K8ID18OS1o2q54939Ic6GMWR0X2I9KKva,11,plain,none,mixed,1 2 4 6 7 8 8 13 15 25 32
BB1W128IXE79GAmKYGBHA3H2148I90d3mPHIcCaXa,11,plain,none,mixed,4 5 6 6 8 10 10 13 15 21 23
BB1W9I4cgO82JaY9A4eZ22QO5GM0oNB2YE1W26528,11,plain,none,mixed,1 1 4 5 7 11 13 18 19 19 23
BB1W0Y4Haa9Cuo4aIG5182534CD1GCJGOX1No4uHX,11,plain,none,mixed,1 2 2 8 10 10 12 15 18 20 23
BB1W1G38Mv245C8RHeP1KYWK29BKjSIIUaC5mHK2e,11,plain,none,mixed,3 4 4 6 8 9 12 13 14 20 28
BB1W10c3KSYstTIAYc1O90Q8KSCmr94PWA1N10oKO,11,plain,none,mixed,4 4 5 5 6 9 11 11 13 23 30
BB1W254IFInJqiYvE8Wf2i5023EE2a44XC382WCS8,11,distinct,none,distinct,1 2 3 4 6 12 14 15 20 21 23
BB1W209HDJcu60GpL4eG6WH4LGBncdM8w4eI54oaW,11,plain,none,mixed,1 1 4 4 8 9 9 13 18 27 27
BB1W48GZ25G809eI8WN1N5HK388Wx1e7Wf0k1e8GY,11,plain,none,mixed,1 3 5 5 5 12 15 16 16 17 26
BB1W00WI9bYYoeHGA2878124N7OLkbf3i8n0-2eAG,11,plain,none,mixed,1 4 5 5 6 6 7 10 18 27 32
BB1W6aBpZ5uBI0WH6aIGd4Wa4Wk0G2BIId3J344W3,11,plain,none,mixed,1 1 5 6 7 7 10 11 13 21 39
BB1W2Aen0O4OLYma2GJDI514hHq84WL0a2ayw9aH1,11,plain,none,mixed,2 3 4 7 8 9 9 12 15 17 35
BB1W8LIK5dMSh3pJIKK284X4CW9mDo8umMXO2HB08,11,plain,none,mixed,2 3 6 9 9 10 13 14 17 17 21
