sbn,size,category,symmetry,size_profile,sizes
661W9pTY0bGYLd,6,shape-zigzag,none,mixed,2 3 3 7 10 11
661W9i4TOP9EPC,6,shape-heart,none,distinct,2 3 4 6 7 14
661W3i4LCP9APC,6,shape-heart,none,distinct,1 2 5 6 8 14
661W0OvpldEGCG,6,shape-T,none,mixed,2 4 4 6 9 11
661W1i4LAP9APS,6,shape-heart,none,mixed,1 2 5 5 9 14
661W0OtZEbIOCO,6,shape-T,none,mixed,1 2 6 8 8 11
661WrQqf00d9On,6,shape-L,none,mixed,2 3 4 8 8 11
661WZIch00K_Sf,6,shape-L,none,mixed,3 3 4 7 8 11
661W1TnhMXgm8O,6,shape-T,none,distinct,1 3 4 8 9 11
661W1i4LmPFEPD,6,shape-heart,none,mixed,2 2 4 6 8 14
661WbFD900TxwX,6,shape-L,none,distinct,2 3 4 7 9 11
661W0vndFfIG8H,6,shape-T,none,mixed,1 2 4 9 9 11
661WbBSyW0LxqX,6,shape-L,none,mixed,2 4 5 7 7 11
661W1Qndkf2G8o,6,shape-T,none,mixed,2 2 3 7 11 11
661WnosA00rTSv,6,shape-L,none,mixed,2 3 4 5 11 11
661W1y4L4T9EPC,6,shape-heart,none,mixed,1 1 5 6 9 14
661WnJdh00cQMj,6,shape-L,none,mixed,4 4 5 5 7 11
661W9y4LZP9APC,6,shape-heart,none,mixed,2 3 5 5 7 14
661WhM5S00bRtZ,6,shape-L,none,mixed,2 4 4 4 11 11
661W0Qnh6xAG9I,6,shape-T,none,distinct,1 4 5 6 9 11
661Wb6jOW0bAzb,6,shape-L,none,mixed,2 4 4 7 8 11
661WjAbA00CUKf,6,shape-L,none,mixed,1 2 4 9 9 11
661WfILPW0bBob,6,shape-L,none,mixed,2 3 4 8 8 11
661WbcCj00cSwn,6,shape-L,none,mixed,2 2 4 6 11 11
661WjQjPW0Keqf,6,shape-L,none,distinct,3 4 5 6 7 11
661W9y4L8T9APC,6,shape-heart,none,mixed,1 4 5 5 7 14
661W0vnh6ZAmAK,6,shape-T,none,distinct,2 4 5 6 8 11
661W1i4L4PBEPj,6,shape-heart,none,mixed,2 3 3 6 8 14
661W0OnhEb68CO,6,shape-T,none,mixed,1 2 3 8 11 11
661WXtk801EDQr,6,shape-L,none,mixed,2 3 4 5 11 11
661W9i4LCP9EPC,6,shape-heart,none,mixed,1 4 5 6 6 14
661W0OrhEj609I,6,shape-T,none,mixed,1 3 4 6 11 11
661WZdNf01DgqX,6,shape-L,none,mixed,3 3 4 7 8 11
661W0PnpMX7eAI,6,shape-T,none,mixed,1 2 5 5 11 12
661W1i4LWRFEPD,6,shape-heart,none,mixed,2 2 3 7 8 14
661W9i4L2PBAPE,6,shape-heart,none,mixed,1 4 4 6 7 14
661W1Qxd6f2eEG,6,shape-T,none,mixed,1 2 2 9 11 11
661Wf6TvW0Kiyb,6,shape-L,none,mixed,2 3 5 5 10 11
661W0OndEZ6GAK,6,shape-T,none,mixed,2 2 4 6 11 11
661W8vHg2b4gPp,6,shape-zigzag,none,distinct,2 4 5 6 9 10
661WHi4L6P9APC,6,shape-heart,none,distinct,1 3 5 6 7 14
661WXoSSW0dQpf,6,shape-L,none,mixed,1 3 3 8 10 11
661W0OpdEjQ09I,6,shape-T,none,mixed,2 4 4 6 9 11
661WX7KS00bxtr,6,shape-L,none,distinct,2 3 5 6 9 11
661WpRMj00dCOX,6,shape-L,none,mixed,3 3 3 7 9 11
661W0OnZMdAGAK,6,shape-T,none,distinct,1 4 5 6 9 11
661WfMjO01Mgrn,6,shape-L,none,mixed,2 4 4 5 10 11
661WncTQ00DRIp,6,shape-L,none,distinct,2 3 5 7 8 11
661W0v_pcfAW8u,6,shape-T,none,mixed,2 5 5 5 8 11
661W1Ozt6xE0DG,6,shape-T,none,mixed,1 2 3 8 11 11
661W1i4LePBEPD,6,shape-heart,none,mixed,2 2 5 5 8 14
661WbBbf00DxIb,6,shape-L,none,mixed,1 4 4 7 9 11
661W0OnhMb68AK,6,shape-T,none,mixed,2 2 4 6 11 11
661W1i4TKPBEPC,6,shape-heart,none,mixed,2 3 3 6 8 14
661W0OnZthIW9G,6,shape-T,none,mixed,1 2 6 8 8 11
661WnZTw005hHh,6,shape-L,none,mixed,2 2 4 7 10 11
661W0Ond6bAOAK,6,shape-T,none,distinct,1 4 5 6 9 11
661WZ6zQW0b9MX,6,shape-L,none,distinct,1 4 5 6 9 11
661W0-xd6d-0AG,6,shape-T,none,mixed,2 2 5 8 8 11
661W0OrpEl60AI,6,shape-T,none,mixed,1 2 5 5 11 12
661W1y4L1RDEPi,6,shape-heart,none,distinct,1 3 4 5 9 14
661WbYCf00sjQv,6,shape-L,none,distinct,2 4 5 6 8 11
661W0Onh6lIWCO,6,shape-T,none,mixed,1 2 6 8 8 11
661WXi4L2RDAPC,6,shape-heart,none,distinct,2 3 4 5 8 14
661WXYzP01DRLb,6,shape-L,none,distinct,1 3 5 6 10 11
661W1i4TIPBEPC,6,shape-heart,none,distinct,2 3 4 5 8 14
661W1PnZ6bgmCO,6,shape-T,none,mixed,2 3 6 6 8 11
661WpV58W0NizX,6,shape-L,none,mixed,1 3 4 6 11 11
661W1i4T2PFEPC,6,shape-heart,none,distinct,1 2 5 6 8 14
661Wjliu00MFHp,6,shape-L,none,mixed,1 3 4 6 11 11
661WXi4LAP9APC,6,shape-heart,none,mixed,2 2 5 5 8 14
661WbQye00Szof,6,shape-L,none,distinct,2 3 5 7 8 11
661W8zTo0jGYPZ,6,shape-zigzag,none,distinct,1 3 4 7 10 11
661WfBME005UQr,6,shape-L,none,distinct,1 3 4 8 9 11
661W1y4L6PBAPC,6,shape-heart,none,mixed,1 1 5 6 9 14
661WnMMj016hKn,6,shape-L,none,mixed,1 4 6 7 7 11
661WbBsC00LBIb,6,shape-L,none,distinct,1 2 6 7 9 11
661W8nHYGpWYJd,6,shape-zigzag,none,mixed,1 2 2 8 10 13
661W0Orl7bMm8H,6,shape-T,none,progressive,1 3 5 7 9 11
661WXYr901DRob,6,shape-L,none,mixed,1 3 5 5 11 11
661WXhs801FDSv,6,shape-L,none,mixed,2 3 3 5 11 12
661W8nTg8fCoNZ,6,shape-zigzag,none,mixed,1 4 6 6 9 10
661W9i4L2P9EPE,6,shape-heart,none,mixed,1 4 4 6 7 14
661W0Ont6Z6OAI,6,shape-T,none,mixed,1 3 5 5 11 11
661WbAKA01UzKf,6,shape-L,none,distinct,2 3 4 6 10 11
661Wn3Mv01DQnb,6,shape-L,none,mixed,1 3 3 4 11 14
661WCrRo8X0wPZ,6,shape-zigzag,none,mixed,1 4 5 5 10 11
661WXAlR00jfVn,6,shape-L,none,mixed,3 3 3 6 10 11
661WAnHg1Z8sPZ,6,shape-zigzag,none,mixed,1 2 7 8 8 10
661WnMNiW06grp,6,shape-L,none,distinct,1 4 5 6 9 11
661W1i4L2xDAPC,6,shape-heart,none,distinct,1 3 4 5 9 14
661W1RpZ7f3G8H,6,shape-T,none,mixed,1 2 2 9 11 11
661WXi4LIPDAPC,6,shape-heart,none,distinct,2 3 4 5 8 14
661W8rVw0h0sPZ,6,shape-zigzag,none,distinct,1 2 4 6 10 13
661W0QnhEjd0CO,6,shape-T,none,mixed,2 3 4 8 8 11
661W8nTY8j0gLd,6,shape-zigzag,none,distinct,1 3 4 7 10 11
661WbxiOW0cfMb,6,shape-L,none,mixed,2 2 5 7 9 11
661W9i4LYP9EPD,6,shape-heart,none,distinct,2 3 4 6 7 14
661W0PxhMpg0AO,6,shape-T,none,progressive,1 3 5 7 9 11
661WhISvW0CQqn,6,shape-L,none,mixed,1 3 3 8 10 11
661W8xLc8XesHZ,6,shape-zigzag,none,distinct,1 3 5 8 9 10
661W0Ppt_X708K,6,shape-T,none,distinct,1 3 4 7 10 11
661W9i4L8RDEPC,6,shape-heart,none,distinct,2 3 4 6 7 14
661WrhKu00LAHd,6,shape-L,none,distinct,1 3 4 7 10 11
661W1Ord7vA88m,6,shape-T,none,mixed,1 1 6 8 9 11
661WXZy901E--v,6,shape-L,none,mixed,1 3 5 5 11 11
661WpJif00ckUb,6,shape-L,none,mixed,3 4 4 5 9 11
661WrA6O01jxpZ,6,shape-L,none,mixed,1 3 5 5 11 11
661W8pVo0beYHh,6,shape-zigzag,none,mixed,2 2 4 8 10 10
661WrpMAW05zKh,6,shape-L,none,distinct,1 3 6 7 8 11
661W0znhMXAm8O,6,shape-T,none,mixed,1 2 4 9 9 11
661WXMk801UjQb,6,shape-L,none,mixed,1 4 4 7 9 11
661WvALQW14DIb,6,shape-L,none,mixed,1 2 4 7 11 11
661W1i4T2vDAPC,6,shape-heart,none,mixed,1 1 5 6 9 14
661WfJK8W0qhKh,6,shape-L,none,mixed,1 1 6 6 11 11
661WfJMD00ahLh,6,shape-L,none,mixed,2 3 6 6 8 11
661Wrgs800FjIb,6,shape-L,none,distinct,2 3 5 6 9 11
661W8rHY8dCoLp,6,shape-zigzag,none,mixed,2 5 5 7 7 10
661Wf2rg00bEwr,6,shape-L,none,distinct,2 3 5 6 9 11
661W0OphEjMG9I,6,shape-T,none,distinct,3 4 5 6 7 11
661WfJzO01NApf,6,shape-L,none,mixed,2 3 3 7 10 11
661W5i4LeP9APi,6,shape-heart,none,distinct,1 3 5 6 7 14
661WDvHY1n0YHZ,6,shape-zigzag,none,mixed,1 1 2 8 10 14
661WAtTY0rGYHd,6,shape-zigzag,none,mixed,2 3 3 7 10 11
661W8nTg8XSoLd,6,shape-zigzag,none,distinct,2 3 6 7 8 10
661WbIqA00S-Qr,6,shape-L,none,mixed,2 2 5 7 9 11
661WXMLOW0rj_n,6,shape-L,none,mixed,2 5 5 6 7 11
661WX6reW0rerv,6,shape-L,none,mixed,1 2 5 6 11 11
661WZB5gW0bhPn,6,shape-L,none,progressive,1 3 5 7 9 11
661WfJl901F9of,6,shape-L,none,distinct,2 4 5 6 8 11
661WhNKO01NAMZ,6,shape-L,none,mixed,2 3 4 5 11 11
661WX7Lf00ivMr,6,shape-L,none,mixed,3 3 4 4 11 11
661W8vLg8bKcHZ,6,shape-zigzag,none,distinct,1 3 5 8 9 10
661W0Ovt6fIu9O,6,shape-T,none,mixed,1 4 6 6 8 11
661W8rVY0fOYHt,6,shape-zigzag,none,distinct,1 2 4 8 10 11
661W0Qpd6fp8CO,6,shape-T,none,mixed,2 4 4 7 8 11
661WjQig0169sf,6,shape-L,none,mixed,2 4 4 6 9 11
661W1Qnp6fIWAI,6,shape-T,none,mixed,2 4 5 5 9 11
