sbn,size,category,symmetry,size_profile,sizes
441W10RV,4,plain,none,mixed,1 4 4 7
441W20R_,4,plain,none,mixed,2 4 4 6
441W40V_,4,plain,none,mixed,3 4 4 5
441W02s_,4,plain,none,mixed,2 4 4 6
441W09ss,4,plain,none,mixed,2 4 4 6
441W0Hs-,4,plain,none,mixed,3 4 4 5
441W03s-,4,plain,none,mixed,1 4 4 7
441W0Ct-,4,uniform,none,uniform,4 4 4 4
441W08jl,4,plain,none,mixed,1 4 4 7
441W0Gj_,4,plain,none,mixed,2 4 4 6
441W0Wl_,4,plain,none,mixed,3 4 4 5
441W12al,4,plain,none,distinct,1 2 4 9
441W14bl,4,plain,none,distinct,1 3 4 8
441W22a_,4,plain,none,mixed,2 2 4 8
441W24b_,4,plain,none,distinct,2 3 4 7
441W12_q,4,plain,none,distinct,2 3 4 7
441W11_y,4,plain,none,mixed,3 3 4 6
441W0Cbl,4,plain,none,distinct,1 3 4 8
441W0Kb_,4,plain,none,distinct,2 3 4 7
441W0ad_,4,plain,none,mixed,3 3 4 6
441W1WRT,4,plain,none,mixed,1 4 4 7
441W1GRT,4,plain,none,distinct,2 3 4 7
441W18RT,4,plain,none,distinct,2 3 4 7
441W50hV,4,plain,none,distinct,1 4 5 6
441W60h_,4,plain,none,mixed,2 4 5 5
441W1acs,4,plain,none,distinct,1 4 5 6
441W2acs,4,plain,none,mixed,2 4 4 6
441W19sq,4,plain,none,mixed,3 3 4 6
441W0ict,4,plain,none,distinct,1 4 5 6
441W0qc_,4,plain,none,mixed,2 4 4 6
441W2WRj,4,plain,none,distinct,1 4 5 6
441W2GRj,4,plain,none,mixed,2 4 4 6
441W28Rz,4,plain,none,mixed,3 3 4 6
441W60xj,4,plain,none,distinct,1 4 5 6
441W0Ajd,4,plain,none,distinct,1 2 4 9
441W0Ijs,4,plain,none,mixed,2 4 4 6
441W0Yls,4,plain,none,mixed,2 4 5 5
441W1Ias,4,plain,none,mixed,1 4 4 7
441W1Kbs,4,plain,none,distinct,1 4 5 6
441W1Yds,4,plain,none,distinct,1 4 5 6
441W2Ias,4,plain,none,mixed,2 4 4 6
441W2Kbs,4,plain,none,mixed,2 4 5 5
441W2Yds,4,plain,none,mixed,2 4 5 5
441W1Isq,4,plain,none,mixed,3 4 4 5
441W1Hsy,4,plain,none,mixed,3 4 4 5
441W1Asy,4,plain,none,mixed,3 4 4 5
441W0Sbt,4,plain,none,mixed,1 4 4 7
441W0Ebd,4,plain,none,mixed,1 1 4 10
441W0Mbs,4,plain,none,mixed,1 4 4 7
441W0cds,4,plain,none,distinct,1 4 5 6
441W0oks,4,plain,none,mixed,3 4 4 5
441W0scs,4,plain,none,mixed,2 4 4 6
441W4WTj,4,plain,none,distinct,1 4 5 6
441W11jk,4,plain,none,distinct,1 3 4 8
441W4GVj,4,plain,none,mixed,2 4 5 5
441W21j-,4,plain,none,distinct,2 3 4 7
441W48Vz,4,plain,none,mixed,3 4 4 5
441W14tz,4,plain,none,mixed,3 3 4 6
441W09jk,4,plain,none,distinct,2 3 4 7
441W0Ajk,4,plain,none,distinct,2 3 4 7
441W0Hj-,4,plain,none,mixed,3 3 4 6
441W0Xl-,4,plain,none,mixed,3 4 4 5
441W1Aak,4,plain,none,distinct,1 3 4 8
441W1Cbk,4,plain,none,mixed,1 4 4 7
441W13ak,4,plain,none,mixed,1 1 4 10
441W15bk,4,plain,none,distinct,1 2 4 9
441W2Aa-,4,plain,none,distinct,2 3 4 7
441W2Cb-,4,plain,none,mixed,2 4 4 6
441W23a-,4,plain,none,distinct,1 2 4 9
441W25b-,4,plain,none,mixed,2 2 4 8
441W1Ytq,4,plain,none,mixed,3 3 4 6
441W1Xty,4,plain,none,mixed,3 4 4 5
441W16tq,4,plain,none,distinct,1 3 4 8
441W15ty,4,plain,none,distinct,2 3 4 7
441W0Dbk,4,plain,none,mixed,2 2 4 8
441W0Ebk,4,plain,none,distinct,1 3 4 8
441W0Lb-,4,plain,none,distinct,2 3 4 7
441W0bd-,4,plain,none,mixed,2 4 4 6
441W0fks,4,plain,none,mixed,2 4 5 5
441W0gk-,4,plain,none,mixed,3 4 4 5
441W0nk-,4,plain,none,mixed,3 4 4 5
441W0jcs,4,plain,none,mixed,2 4 4 6
441W0kc-,4,plain,none,mixed,3 3 4 6
441W0rc-,4,plain,none,mixed,3 3 4 6
441W0Pjs,4,plain,none,mixed,2 4 4 6
441W0Bjc,4,plain,none,mixed,2 2 4 8
441W0Tbs,4,plain,none,distinct,2 3 4 7
441W0Fbc,4,plain,none,distinct,1 2 4 9
441W1WPF,4,plain,none,mixed,1 1 4 10
441W2WP_,4,plain,none,distinct,1 2 4 9
441W50Tl,4,plain,none,distinct,1 4 5 6
441W60T_,4,plain,none,mixed,2 4 5 5
441W1GRF,4,plain,none,distinct,1 2 4 9
441W1aqc,4,plain,none,distinct,1 2 4 9
441W29sc,4,plain,none,mixed,2 2 4 8
441W30Rl,4,plain,none,distinct,1 4 5 6
441W1Yrc,4,plain,none,distinct,1 3 4 8
441W2Ask,4,plain,none,distinct,2 3 4 7
441W1Isc,4,plain,none,mixed,1 4 4 7
441W70TV,4,plain,none,distinct,1 4 5 6
441W0gyk,4,plain,none,distinct,1 3 4 8
441W0qrs,4,plain,none,mixed,2 4 5 5
441W0oys,4,plain,none,mixed,1 4 4 7
441W0sqs,4,plain,none,mixed,2 4 4 6
441W1Ktc,4,plain,none,distinct,1 3 4 8
441W0frk,4,plain,none,mixed,2 4 4 6
441W0nr-,4,plain,none,mixed,3 4 4 5
441W0kqk,4,plain,none,distinct,2 3 4 7
441W0vrs,4,plain,none,mixed,2 4 5 5
441W1Aji,4,plain,none,mixed,2 4 4 6
